ip,alive,hostname,http_title,http_server,https_title,https_server,last_seen
192.168.0.100,True,Geetanjali,,Microsoft-IIS/10.0,,,2025-09-12T21:50:04.657009
192.168.0.1,True,,Opening...,,,,2025-09-12T21:50:09.753915
